name,lat,lng,rating,user_ratings_total,address,id
chef主廚義式餐廳,24.1709109,120.6838581,4.6,359,"No. 144號, Section 3, Beiping Road, Beitun District",
馥園 北平路簡餐廳/便當,24.170594,120.6875357,4.1,245,"No. 42-1號, Section 4, Beiping Road, Beitun District",
Naiyou Hema Family Restaurant,24.1719862,120.725288,4.6,370,"No. 239號, Junfu 13th Rd, Beitun District",
野店鄉野小吃合菜餐廳,24.1647887,120.7230785,4.1,2086,"No. 368號, Section 1, Jianhe Road, Beitun District",
慕時食飲空間,24.1843649,120.621233,4.6,229,"No. 7號, Lane 118, Yongfu Road, Xitun District",
Les aqua水相餐聚苑,24.1885652,120.6592943,4.3,3796,"No. 100號, Section 2, Jingmaosan Road, Beitun District",
萊可曼法式餐廳,24.1836301,120.6478375,4.2,321,"Xitun District, Lane 277, Xi'an Street, 59號15樓",
默爾 pasta pizza(J Mall店）,24.1832757,120.6160882,4.2,510,"No. 1038號, Section 4, Taiwan Boulevard, Xitun District",
厝秘 - 功夫菜‧手路湯,24.18372,120.6898836,4.3,418,"No. 18號, Section 1, Chongdeba Road, Beitun District",
LENINI 樂尼尼義式餐廳-台中大坑店,24.1779144,120.7384743,4.1,2889,"Beitun District, 廍子巷5-11號",
好喔,24.1752527,120.7272108,4.4,808,"No. 177號, Junfu 16th Road, Beitun District",
嵐芝宸庭園餐廳,24.1755699,120.7301582,4.6,415,"No. 5之1號, Section 1, Songzhu Road, Beitun District",
Dongshan Shui An Restaurant,24.180975,120.740346,4.1,691,"No. 6-1號, Guangxi Ln, Beitun District",
Qian Wu Tingyuan Restaurant,24.1830594,120.7410176,3.9,636,"No. 6號, Guangxi Ln, Beitun District",
靚品私廚,24.1751081,120.7233953,4.4,76,"406, No. 356 號, Junfu 16th Road, Beitun District",
Feuille food lab 新歐式餐廳,24.159993,120.6527864,4.4,52,"Xitun District, Dadun Road, 1036號",
龍莊烤乳豬 - 合菜推薦 家庭聚餐 團體聚餐 公司聚餐 特色 烤乳豬 高CP值 必吃 好評 台式料理 台菜 大坑附近餐廳,24.1787567,120.7383748,4.0,735,"No. 8之1號, Alley 8, Lane 1, Section 2, Dongshan Road, Beitun District",
菁悅天空川菜館（友善寵物餐廳）,24.2025489,120.7102515,4.1,459,"No. 57號, Fugui Road, Tanzi District",
Hung Ying Garden Restaurant,24.1995509,120.7550555,3.8,942,"No. 131-5, Section 2, Dongshan Road, Beitun District",
普羅旺斯庭園餐廳,24.2026933,120.7923783,4.1,132,"No. 205-1號 之 1 號, Section 2, Dongshan Road, Beitun District",
Fuxing Restaurant,24.2308002,120.6240216,4.2,2175,"Daya District, Yuexiang Road, 301號號",
欣林創意料理餐廳,24.2254696,120.644634,3.7,561,"No. 589號, Zhongshan North Road, Daya District",
Sen Shen Yi Shi Restaurant,24.2252014,120.6536783,4.3,246,"No. 30號, Section 2, Yahuan Road, Daya District",
萌木之村 MOMU,24.1895912,120.6117348,4.2,608,"No. 8號, Lane 370, Yumen Road, Xitun District",
Fugui Yuan Restaurant,24.2572269,120.6689939,4.1,501,"No. 1208號, Zhongshan Road, Shengang District",
和鳳居庭園簡餐咖啡餐廳,24.1037235,120.6373138,4.3,156,"No. 2, Alley 9, Lane 247, Xinyi Street, Wuri District",
吳班長川菜料理會館-神岡川菜美食|人氣餐廳|家族聚餐|推薦桌菜|在地推薦美食|CP美食,24.2587556,120.6581417,3.8,802,"No. 1353號, Zhongshan Road, Shengang District",
日日是好日庭園餐廳,24.2458649,120.5656503,4.1,300,"Shalu District, 中山路永安巷93-9號",
福元平價美食,24.1718794,120.7245045,4.2,73,"No. 181號, Section 2, Jianhe Rd, Beitun District",
南村食堂 台中西屯美食餐廳/熱炒/聚餐/漢口路二段,24.1634833,120.6580812,4.6,166,"No. 19-3號, Section 2, Hankou Rd, Xitun District",
席拉米主題餐廳,24.2575069,120.5407433,4.6,392,"Wuqi District, Section 1, Dazhi Road, 1060號停車場進入。櫻花廚具紅色招牌對面號",
天利食堂 台中JMALL店/美食/日式鍋物/平價美食/家庭聚餐/推薦餐廳,24.1830821,120.6161331,4.5,776,"Xitun District, Section 4, Taiwan Boulevard, 1038號1樓",
Hong Long Yan Restaurant,24.1907157,120.6591558,4.1,256,"No. 67號, Jingmao 5th Road, Beitun District",
金福華餐廳（配合防疫暫停營業）,24.2503532,120.5818515,3.8,1168,"No. 376號, Section 7, Zhongqing Road, Shalu District",
Fifi Restaurant,24.1547336,120.6664242,4.7,26,North District,
Shi Yue Restaurant,24.1857217,120.6097191,4.3,187,"Xitun District, Yumen Road, 33號1樓",
NU PASTA 台中潭子店 - 潭子美食｜義大利麵｜焗烤｜聚餐餐廳｜平價美食｜推薦餐廳,24.2117838,120.7009544,3.5,495,"No. 120號, Section 3, Tanxing Road, Tanzi District",
Cream Farfalla 義大利餐廳,24.252,120.721014,4.2,372,"No. 101號, Zhongzheng Road, Fengyuan District",
San Yin Restaurant,24.3495197,120.6221619,4.1,582,"No. 161, Sanmin Road, Dajia District",
辛德里咖哩 Delhi Bistro Curries Taichung-西屯熱門餐廳|台中聚會餐廳|人氣異國料理|道地美食|印度料理餐廳|異國料理餐廳,24.1810734,120.6458757,4.9,1139,"No. 11號, Lane 155, Wenhua Road, Xitun District",
138藝廚,24.2626769,120.548283,4.9,439,"Qingshui District, Ren'ai Road, 138號No. 138",
櫃森森複合式餐飲,24.2298227,120.5703066,4.0,269,"Shalu District, Beishi East Road, 800號正對面(大璽停車場",
Little Tibet,24.175309,120.64681,4.3,1185,"No. 2號, Qinghe Street, Xitun District",
Mr.38 The Beat Curry,24.1770776,120.6433493,4.5,3790,"No. 212, Zhishan Road, Xitun District",
晚上見熱炒餐廳,24.1913827,120.6587933,4.3,347,"No. 1167號, Zhongping Road, Xitun District",
Ni Ke Huayuan Restaurant,24.2025337,120.6742401,4.2,84,"No. 1486, Section 1, Huanzhong Road, Beitun District",
